epoch,train_loss,eval_loss,eval_prec1,eval_prec5
0,6.914988626202614,6.907889254302979,0.1,0.5
1,5.5003514023040605,6.918819300384522,0.1,0.5
2,4.312880376260058,7.020955482330322,0.1,0.5
3,3.9814500695319293,7.208767004394531,0.1,0.5
4,3.8867667181600485,7.34244179397583,0.1,0.5
5,3.8555511730752117,7.3528357336425785,0.1,0.558
6,3.7354020437748314,7.235436230316162,0.164,0.536
7,3.6792830613781984,7.156069258422852,0.182,0.4979999998855591
8,3.6425023828860192,7.0675488945007325,0.25400000045776366,0.9960000003051758
9,3.590461625469674,6.010154309387207,6.25000000366211,15.766000006713867
10,3.566148680558117,4.152928798828125,26.492000013427734,48.90600000488281
11,3.5508783358178264,3.2465155970001223,37.54600001342774,62.65799996826172
12,3.515977703981834,2.6399790431594847,46.3299999609375,71.40599999023438
13,3.5070004493688987,2.322590512390137,51.116000017089846,75.81800000732422
14,3.4958675009645908,2.160764005622864,53.825999985351565,77.87199994873046
15,3.467226721971727,2.0313442514038087,56.18399995117188,79.58999994628907
16,3.4599742322421663,1.9596580809402466,57.15600002929688,80.4619999194336
17,3.4529537110210513,1.9018994705963135,58.24999997070312,81.14599991943359
18,3.4273824719406907,1.8605685350799561,58.85200002441406,81.66199991699219
19,3.4217300297830886,1.8477618533325195,59.01399999755859,81.82599996826171
20,3.417314645388334,1.8284243307495118,59.31799994628906,82.04000001708984
21,3.394731937552528,1.793489133758545,59.87199996826172,82.48400001708984
22,3.392602026700783,1.793973508491516,59.87999994384766,82.36799991210937
23,3.3853963722142097,1.7604381385040284,60.38399997070312,82.85200001464844
24,3.365103450896357,1.7346539798355103,60.95799996582031,83.22399993652344
25,3.3632400018705737,1.7371987641525268,60.77999994140625,83.14999993408203
26,3.360142162377886,1.7232912921524048,61.1140000390625,83.38400001220703
27,3.3409390017854794,1.7001222048187257,61.471999963378906,83.64400001220703
28,3.3351907513791517,1.6823714540100099,61.57399996337891,83.89000001220703
29,3.3348646689947845,1.6698095842361451,61.77399993652344,84.06199993408202
30,3.314653418999877,1.6654817558670043,62.0039999609375,84.0819999633789
31,3.3124462598614652,1.652545682411194,62.213999936523436,84.25199993408204
32,3.310456856739797,1.6359008580970764,62.5800000390625,84.43000001220703
33,3.2903840505628943,1.6320968240737914,62.5640000390625,84.47999993164062
34,3.2906445566889384,1.6417369704818725,62.40199993652344,84.39800000976562
35,3.2883523797912657,1.6211350919151306,62.805999956054684,84.6980000366211
36,3.2682011668725934,1.6231088872909545,62.81200001464844,84.74999993408203
37,3.268134196408742,1.6419091031646729,62.32800001953125,84.31799993408202
38,3.2650279744351796,1.6784802641677856,61.62600004150391,83.78599998779296
39,3.246446339441813,1.6362182700157166,62.55400003662109,84.32799993408203
40,3.2427063612438602,1.6032512761306763,63.144000036621094,84.85400000732422
41,3.2425117058147914,1.5866546015548706,63.451999987792966,85.01799995849609
42,3.2267876201205783,1.6262015265655518,62.685999914550784,84.57799993408203
43,3.226026603357969,2.1805966596221924,52.450000021972656,76.0960000024414
44,3.2276638117339687,1.7994409588623046,59.495999921875,82.27799993652344
45,3.206094114328746,1.6519057434082032,62.211999990234375,84.14600000976563
46,3.2080175817536887,1.5826362284469604,63.54199998779297,85.14200000732421
47,3.2079246226165123,1.561546765575409,63.92999998779297,85.45799998291015
48,3.187692332229645,1.5789474658584595,63.72000001220703,85.24400003662109
49,3.1878686456276264,1.5740178115081787,63.8220000390625,85.29599993408203
50,3.189409888905587,1.5561781289100647,64.15399998535156,85.49999998046874
51,3.1694487072199844,1.5389042293548585,64.34599993164062,85.71199997802735
52,3.1694185749041757,1.522525418586731,64.80399992919922,85.88999997802735
53,3.1685654449996523,1.5200433246994018,64.76399995361328,85.87599992919922
54,3.1506582911161307,1.5167600329971314,64.77999998046874,85.89399993164062
55,3.1508140788852073,1.5079705466842652,64.98000000732422,86.06399998046875
56,3.147651861706893,1.5123570593452453,64.90800000732422,86.00399998046875
57,3.133423946172499,1.5019652316093446,65.15799992919922,86.15599992919923
58,3.1315180128045697,1.4922558213043213,65.29600000732422,86.21600003417969
59,3.132138447224093,1.4900451420593261,65.34800000732422,86.27200003173829
